Reference,Qty,Description,Part Number,Manufacturer,Digikey
C1,1,"CAP 100UF, 5MM DIA, 2MM LEAD",860010372006,Wurth Elektronik,732-8598-1-ND
"C2,C3,C4",3,"CAP 100NF, 0805",885012207016,Wurth Elektronik,732-8026-1-ND
"TFT1,TFT2",2,"FEMALE HEADER 0.1""",PPTC201LFBN-RC,Sullins Connector Solutions,S7018-ND
USB1,1,USB TYPE A RECEPTACLE,USB-A1HSW6,On Shore Technology Inc,ED2989-ND
"C5,C6,C7,C8",5,"CAP 100PF, 0805",885012207054,Wurth Elektronik,732-8046-1-ND
